07-03 外僑居留人數 Foreign Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人  Unit : Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"年底別
End of Year",總計,美國,英國,法國,德國,日本,荷蘭,西班牙,葡萄牙,丹麥,瑞士,瑞典,韓國,馬來西亞,印尼,菲律賓,泰國,新加坡,印度,加拿大,比利時,義大利,奧地利,澳洲,越南,挪威,芬蘭,無國籍,其他,,
一○六年 2017,"717,736","8,917","1,716","1,257",832,"11,772",266,331,109,75,150,125,"4,229","20,843","238,113","142,573","64,955","1,372","3,159","2,031",123,384,103,765,"203,130",28,45,121,"10,212",,
一○七年 2018,"758,583","8,915","1,783","1,299",784,"11,839",288,353,196,81,157,111,"4,382","21,300","251,282","147,420","64,655","1,424","3,478","2,001",154,424,108,747,"223,825",26,30,105,"11,416",,
資料來源：本部移民署。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : National Immigration Agency, MOI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
說明：本項統計資料不含逾期居留外僑人數。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note：The number of overstayed foreign residents is not included.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更新日期：2019/4/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
